route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
M30,OP1,M30,,3,https://muoversiaroma.it/it/linea?numero=M30,,
M50,OP1,M50,,3,https://muoversiaroma.it/it/linea?numero=M50,,
n11,OP1,n11,,3,https://muoversiaroma.it/it/linea?numero=n11,,
n5,OP1,n5,,3,https://muoversiaroma.it/it/linea?numero=n5,,
n8,OP1,n8,,3,https://muoversiaroma.it/it/linea?numero=n8,,
P02,OP1,P02,,3,https://muoversiaroma.it/it/linea?numero=P02,,
P03,OP1,P03,,3,https://muoversiaroma.it/it/linea?numero=P03,,
P10,OP1,P10,,3,https://muoversiaroma.it/it/linea?numero=P10,,
P20,OP1,P20,,3,https://muoversiaroma.it/it/linea?numero=P20,,
P30,OP1,P30,,3,https://muoversiaroma.it/it/linea?numero=P30,,
T01,OP1,T01,,3,https://muoversiaroma.it/it/linea?numero=T01,,
T02,OP1,T02,,3,https://muoversiaroma.it/it/linea?numero=T02,,
T10,OP1,T10,,3,https://muoversiaroma.it/it/linea?numero=T10,,
T20,OP1,T20,,3,https://muoversiaroma.it/it/linea?numero=T20,,
020,OP1,020,,3,https://muoversiaroma.it/it/linea?numero=020,,
100,OP1,100,,3,https://muoversiaroma.it/it/linea?numero=100,,
188,OP1,188,,3,https://muoversiaroma.it/it/linea?numero=188,,
19L,OP1,19L,,3,https://muoversiaroma.it/it/linea?numero=19L,,
544,OP1,544,,3,https://muoversiaroma.it/it/linea?numero=544,,
350,OP1,350,,3,https://muoversiaroma.it/it/linea?numero=350,,
043,OP1,043,,3,https://muoversiaroma.it/it/linea?numero=043,,
14L,OP1,14L,,3,https://muoversiaroma.it/it/linea?numero=14L,,
313,OP1,313,,3,https://muoversiaroma.it/it/linea?numero=313,,
120F,OP1,120F,,3,https://muoversiaroma.it/it/linea?numero=120F,,
150F,OP1,150F,,3,https://muoversiaroma.it/it/linea?numero=150F,,
180F,OP1,180F,,3,https://muoversiaroma.it/it/linea?numero=180F,,
190F,OP1,190F,,3,https://muoversiaroma.it/it/linea?numero=190F,,
113,OP1,113,,3,https://muoversiaroma.it/it/linea?numero=113,,
075,OP1,075,,3,https://muoversiaroma.it/it/linea?numero=075,,
246P,OP1,246P,,3,https://muoversiaroma.it/it/linea?numero=246P,,
336,OP1,336,,3,https://muoversiaroma.it/it/linea?numero=336,,
351,OP1,351,,3,https://muoversiaroma.it/it/linea?numero=351,,
435,OP1,435,,3,https://muoversiaroma.it/it/linea?numero=435,,
82,OP1,82,,3,https://muoversiaroma.it/it/linea?numero=82,,
83,OP1,83,,3,https://muoversiaroma.it/it/linea?numero=83,,
89,OP1,89,,3,https://muoversiaroma.it/it/linea?numero=89,,
515,OP1,515,,3,https://muoversiaroma.it/it/linea?numero=515,,
731,OP1,731,,3,https://muoversiaroma.it/it/linea?numero=731,,
14NAV,OP1,14NAV,,3,https://muoversiaroma.it/it/linea?numero=14NAV,,
RMG,OP1,RMG,,0,https://muoversiaroma.it/it/linea?numero=RMG,,
319,OP1,319,,3,https://muoversiaroma.it/it/linea?numero=319,,
51,OP1,51,,3,https://muoversiaroma.it/it/linea?numero=51,,
669,OP1,669,,3,https://muoversiaroma.it/it/linea?numero=669,,
723,OP1,723,,3,https://muoversiaroma.it/it/linea?numero=723,,
